fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
6,2026-09-24T18:00Z,15.00,-156.18,995.4,48.9,70.1,6.9,1.51,,71.1,77.0,-7.5,1.1,291.2,27.4,3.6,-6.4
12,2026-09-25T00:00Z,15.04,-156.29,992.3,66.1,83.2,6.2,1.84,0,82.2,87.2,4.8,2.5,15.9,39.3,6.4,3.1
18,2026-09-25T06:00Z,15.49,-156.03,991.2,79.8,93.6,4.8,2.06,0,90.7,94.0,4.2,5.2,24.7,33.4,6.0,2.6
24,2026-09-25T12:00Z,15.98,-155.84,986.6,89.1,108.3,5.4,2.22,0,88.3,104.0,4.7,4.6,25.1,34.1,7.6,4.4
30,2026-09-25T18:00Z,16.33,-155.62,986.9,101.4,125.1,6.4,2.38,0,92.5,113.0,4.9,3.1,18.2,34.4,7.0,5.2
36,2026-09-26T00:00Z,16.58,-155.63,984.0,121.9,124.4,7.1,2.52,0,101.0,112.8,7.2,1.9,46.9,46.5,6.9,6.7
42,2026-09-26T06:00Z,16.58,-155.34,986.1,129.0,121.5,6.1,2.56,0,102.3,103.9,8.4,1.3,97.6,58.7,3.8,5.3
48,2026-09-26T12:00Z,16.55,-155.37,985.4,117.2,132.0,,2.52,,93.9,104.7,-5.8,0.9,256.7,77.1,2.7,-2.3
54,2026-09-26T18:00Z,16.54,-155.52,985.9,125.8,140.5,,2.59,,97.5,114.3,-5.5,3.3,255.4,217.8,1.1,-2.0
60,2026-09-27T00:00Z,16.38,-156.02,980.3,129.0,145.8,,2.62,,112.0,123.8,-2.7,6.3,251.2,241.5,1.7,-1.5
66,2026-09-27T06:00Z,16.14,-156.76,975.4,105.0,141.4,-1.7,2.45,0,97.1,121.9,-3.0,7.7,255.5,238.3,4.5,-1.4
72,2026-09-27T12:00Z,16.00,-157.57,966.2,115.0,212.2,-2.4,2.61,0,113.0,181.4,-2.9,8.3,264.6,252.3,4.6,0.1
78,2026-09-27T18:00Z,15.98,-158.48,965.5,88.6,234.3,-5.0,2.40,0,79.9,188.5,-5.9,9.5,273.3,259.3,5.7,-2.4
84,2026-09-28T00:00Z,16.11,-159.55,962.6,127.8,235.5,-7.4,2.69,0,123.1,194.8,-7.3,10.0,277.9,284.8,5.3,-4.3
90,2026-09-28T06:00Z,16.26,-160.54,963.2,102.2,277.5,-7.4,2.53,0,86.9,230.9,-7.7,9.1,289.0,295.9,5.5,-5.7
96,2026-09-28T12:00Z,16.70,-161.33,964.5,94.6,264.2,-6.6,2.46,0,91.5,222.3,-8.7,8.6,306.4,328.1,6.6,-6.2
102,2026-09-28T18:00Z,17.28,-161.98,969.0,134.9,267.8,-5.7,2.74,0,127.6,235.2,-8.7,8.9,317.5,341.4,7.8,-5.8
108,2026-09-29T00:00Z,18.01,-162.59,969.6,131.4,260.3,-0.4,2.72,0,129.0,224.7,-5.9,8.5,333.8,1.2,9.2,-3.9
114,2026-09-29T06:00Z,18.80,-162.77,968.7,211.1,216.0,3.1,2.92,0,227.2,204.1,-2.2,9.2,349.5,10.0,8.8,-0.9
120,2026-09-29T12:00Z,19.82,-162.95,970.3,271.6,211.8,6.4,2.95,0,243.3,218.1,1.6,9.7,0.5,17.9,10.4,2.0
126,2026-09-29T18:00Z,20.74,-162.75,971.7,272.5,205.7,8.6,2.95,0,280.6,208.1,5.9,11.0,14.1,24.2,11.0,5.3
132,2026-09-30T00:00Z,21.95,-162.37,972.5,214.0,161.5,13.4,2.87,2,228.7,170.4,10.4,12.1,21.4,32.4,13.1,8.4
138,2026-09-30T06:00Z,23.00,-161.79,972.7,216.0,183.3,14.1,2.90,2,233.3,192.1,11.2,11.9,27.8,42.1,12.7,9.2
144,2026-09-30T12:00Z,24.05,-161.17,977.3,216.7,98.8,14.1,2.70,2,188.2,140.8,11.2,11.3,28.7,45.5,14.2,9.9
150,2026-09-30T18:00Z,24.98,-160.60,984.5,162.5,-15.3,13.3,1.70,3,176.5,37.3,9.1,11.4,24.8,51.3,13.8,8.6
156,2026-10-01T00:00Z,26.11,-160.12,989.0,205.7,-102.3,13.9,1.17,3,188.5,-125.0,9.7,13.9,25.5,47.8,15.7,8.5
162,2026-10-01T06:00Z,27.49,-159.28,991.6,219.3,-263.2,16.0,0.96,3,164.6,-258.9,10.4,18.9,15.8,37.6,16.8,7.5
168,2026-10-01T12:00Z,29.74,-158.96,991.9,187.1,-229.1,27.2,0.93,3,125.8,-221.6,22.0,26.4,8.1,30.2,20.7,17.0
174,2026-10-01T18:00Z,32.71,-158.41,988.3,208.1,-239.2,28.1,0.96,3,159.1,-217.8,25.9,33.8,0.3,13.9,23.8,23.4
180,2026-10-02T00:00Z,36.49,-158.91,985.7,175.5,-177.2,25.1,0.94,3,153.4,-156.5,23.4,37.6,350.6,5.6,30.3,26.8
186,2026-10-02T06:00Z,40.12,-159.93,979.1,131.1,-3.6,14.9,1.69,3,109.3,0.4,13.6,35.3,349.8,2.2,32.6,14.4
192,2026-10-02T12:00Z,43.43,-160.55,974.3,114.7,-84.9,14.9,0.94,3,113.1,-42.2,14.0,34.2,354.1,2.3,37.7,13.8
198,2026-10-02T18:00Z,46.92,-160.90,976.7,130.4,-233.1,21.4,0.74,3,130.7,-201.5,21.4,35.1,355.9,356.2,37.7,19.0
