fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
0,2026-09-25T12:00Z,58.40,-176.01,967.2,133.6,-112.6,0.9,0.93,1,101.4,-110.6,9.9,11.3,177.4,226.7,10.9,26.6
6,2026-09-25T18:00Z,57.27,-175.91,971.3,-74.1,23.3,13.3,-1.02,6,-73.6,-16.1,15.1,8.8,138.3,146.4,7.5,25.6
12,2026-09-26T00:00Z,57.09,-173.81,970.0,-95.4,28.6,13.6,-1.20,6,-98.0,-3.7,14.8,10.8,90.8,95.2,10.4,18.0
18,2026-09-26T06:00Z,57.24,-171.93,968.9,-91.1,-7.7,-0.6,-1.52,5,-90.6,-57.5,0.1,13.7,93.7,98.9,14.2,-0.3
24,2026-09-26T12:00Z,56.91,-168.80,972.8,-74.0,-48.3,-3.9,-1.70,5,-94.7,-103.7,-4.0,18.6,85.4,84.5,22.1,-2.2
30,2026-09-26T18:00Z,57.54,-165.07,975.7,-33.7,-71.8,-4.1,-1.26,5,-69.8,-133.6,-3.9,17.3,67.3,72.8,18.3,-2.4
36,2026-09-27T00:00Z,58.25,-162.85,978.0,-36.1,-109.9,-2.2,-1.49,5,-72.5,-159.6,-1.3,9.7,40.2,57.0,14.3,-2.6
42,2026-09-27T06:00Z,59.02,-162.69,979.2,33.7,-38.2,-2.7,0.28,1,16.6,-49.2,-1.5,2.4,47.8,83.6,6.2,-5.1
48,2026-09-27T12:00Z,58.57,-162.17,981.5,43.6,-5.2,-1.0,0.77,1,26.6,-37.5,-1.2,8.7,116.4,103.3,9.9,1.6
54,2026-09-27T18:00Z,58.25,-159.70,983.6,71.7,-133.3,1.6,0.36,1,41.6,-142.3,2.3,9.5,93.2,103.3,10.3,3.8
60,2026-09-28T00:00Z,58.46,-158.53,985.2,72.2,-85.1,-0.5,0.55,1,35.1,-99.0,1.2,4.8,90.4,104.8,8.7,2.7
66,2026-09-28T06:00Z,58.24,-157.88,986.9,79.5,-35.5,-5.4,0.98,1,47.2,-63.7,-6.2,5.8,143.7,130.5,9.1,-4.0
72,2026-09-28T12:00Z,57.52,-157.23,989.7,61.4,-58.8,-5.0,0.57,1,28.1,-79.4,-5.8,12.2,143.6,132.6,12.5,-5.0
78,2026-09-28T18:00Z,56.27,-155.20,992.7,29.0,-102.2,-3.4,-0.21,1,-3.2,-130.1,-4.1,17.6,135.2,126.7,15.6,-3.1
84,2026-09-29T00:00Z,55.03,-152.77,994.6,3.3,-141.2,-3.3,,,-50.3,-165.0,-0.3,20.7,85.8,115.6,20.2,-0.8
96,2026-09-29T12:00Z,56.73,-144.02,995.6,-5.6,-110.2,-0.4,,,-22.7,-94.6,1.7,26.8,84.2,108.3,11.6,0.4
102,2026-09-29T18:00Z,55.83,-138.72,997.9,-23.9,-129.1,3.8,,,-33.5,-108.9,3.3,20.3,87.0,92.5,14.3,1.6
108,2026-09-30T00:00Z,56.95,-136.62,1000.6,-13.7,-107.6,8.2,,,-19.2,-82.4,0.5,8.7,35.9,91.1,13.7,0.1
114,2026-09-30T06:00Z,57.24,-136.88,1003.5,-25.3,-91.5,8.9,,,-34.0,-89.1,7.6,8.5,136.8,94.3,13.2,5.7
120,2026-09-30T12:00Z,55.71,-134.52,1007.1,-22.8,-131.2,7.7,,,-43.3,-127.3,4.2,20.1,139.7,88.6,19.9,3.3
