fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
0,2026-09-25T12:00Z,56.76,-41.62,991.8,-48.4,-226.7,30.2,-1.88,4,-104.0,-237.4,30.6,24.5,95.0,98.0,28.2,30.1
6,2026-09-25T18:00Z,56.54,-37.18,988.6,3.4,-243.9,29.9,-0.92,3,-60.4,-255.4,30.4,26.1,84.7,88.3,25.9,27.8
12,2026-09-26T00:00Z,57.23,-32.10,987.8,-119.1,-238.1,35.8,-2.64,4,-111.4,-243.4,31.4,21.2,92.9,75.4,19.1,27.5
18,2026-09-26T06:00Z,56.33,-29.55,986.8,-90.7,-273.0,20.8,-2.43,4,-114.0,-272.4,7.9,17.5,105.3,75.3,22.4,5.9
24,2026-09-26T12:00Z,56.31,-25.95,987.5,-141.2,-284.2,21.5,-2.77,4,-132.6,-272.1,27.0,23.3,47.3,65.8,24.8,22.5
36,2026-09-27T00:00Z,61.06,-19.68,985.6,-85.9,-189.3,19.4,-2.34,4,-95.8,-176.5,23.4,23.9,29.2,46.4,13.8,13.1
42,2026-09-27T06:00Z,62.55,-19.09,983.6,30.2,-131.4,16.3,-0.29,3,1.3,-135.6,19.9,9.1,25.1,47.9,7.2,11.0
48,2026-09-27T12:00Z,62.70,-18.06,985.5,-4.4,-104.1,13.9,-0.86,4,-20.5,-83.4,10.6,7.4,60.2,46.5,9.2,6.4
54,2026-09-27T18:00Z,63.29,-16.26,987.1,-42.6,-99.9,13.7,-1.57,4,-32.0,-68.9,13.8,10.1,52.2,52.6,11.9,9.4
60,2026-09-28T00:00Z,63.94,-14.49,989.7,-6.0,-130.3,17.3,,,-2.9,-109.0,17.9,9.5,47.3,51.3,14.4,12.3
66,2026-09-28T06:00Z,64.57,-13.10,992.1,-24.3,-132.1,19.3,,,-15.0,-123.3,20.3,8.7,43.9,53.7,16.8,14.1
